Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Albania,"2,316","9,204","4,707",73.3,26,0.7,0,100,65
Algeria,"25,195","7,561","2,930",83.4,15.9,0.7,0,100,71.7
Angola,"10,053","16,019","3,033",78.9,19.3,1.6,0.2,100,84.4
Antigua and Barbuda,66,"22,784","7,306",58,38.8,3,0.2,100,75.6
Argentina,"29,206","16,002","4,381",70.2,28.1,1.7,0.1,100,78.7
Armenia,"2,292","5,558","2,012",91.7,7.7,0.5,0,100,74.3
Australia,"17,115","375,573","162,815",11.1,33.2,49.6,6.2,100,68.2
Austria,"6,837","206,002","52,519",28.9,31.7,36.3,3.2,100,78.5
Azerbaijan,"6,519","13,242","6,207",65.1,33.2,1.6,0,100,68.3
Bahamas,253,"45,947","14,733",42,50.2,7.4,0.4,100,75.6
Bahrain,610,"50,609","23,695",34,56.6,9.1,0.4,100,68
Bangladesh,"110,079","2,347",675,96.7,3.2,0.2,0,100,78.6
Barbados,203,"22,120","7,044",59,38.1,2.7,0.2,100,76.2
Belarus,"7,473","1,259",721,99,1.1,0,0,100,62.2
Belgium,"8,473","270,613","154,815",18.4,20.8,57.2,3.6,100,64.1
Belize,202,"10,896","3,025",80,18.8,1.1,0.1,100,78.4
Benin,"5,135","3,136",905,95.5,4.2,0.3,0,100,77.9
Bolivia,"6,175","5,542","1,521",90.4,9.1,0.5,0,100,77.9
Bosnia and Herzegovina,"2,993","11,384","5,780",66.7,32.3,1,0,100,65.2
Botswana,"1,236","8,600",639,94,5.3,0.5,0.1,100,93
Brazil,"140,507","18,059","3,811",72.9,25.2,1.8,0.1,100,82.9
Brunei,304,"46,757","21,891",35,56.8,7.9,0.3,100,68
Bulgaria,"5,887","14,824","7,458",58.5,40,1.5,0,100,65.8
Burkina Faso,"8,379","1,323",333,98.6,1.3,0.1,0,100,81
Burundi,"5,032",361,126,99.7,0.3,0,0,100,74.5
Cambodia,"9,826","3,427",927,95.6,4.2,0.3,0,100,79.5
Cameroon,"11,161","2,526",715,96.5,3.3,0.2,0,100,78
Canada,"27,995","270,179","96,664",25,25.7,45.3,4,100,73.2
Cape Verde,315,"16,557","4,536",71,26.9,2,0.1,100,79.2
Central African Republic,"2,516",800,136,99.2,0.7,0.1,0,100,85.8
