Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini,
Albania,"2,176","11,061","8,401",59.3,40.3,0.3,0,100,44.8,
Algeria,"26,122","7,399","2,518",89.1,10.1,0.8,0,100,75.8,
Angola,"12,486","13,165","4,929",72.3,25.9,1.7,0,100,78.2,
Antigua and Barbuda,68,"22,490","6,529",64,33.8,2,0.2,100,79.3,
Argentina,"29,588","18,966","7,411",62.8,35.1,2,0.1,100,72.3,
Armenia,"2,170","5,751","3,371",86,13.8,0.2,0,100,58.3,
Australia,"18,205","402,603","195,417",5.4,26.9,61.3,6.4,100,65.2,
Austria,"7,051","221,456","57,534",28.4,30.7,37.3,3.5,100,78.8,
Azerbaijan,"6,826","8,391","5,411",78.1,21.5,0.3,0,100,51,
Bahamas,284,"41,203","9,806",51,44.4,4.2,0.4,100,85.1,
Bahrain,"1,089","30,803","8,561",55,41.6,3.1,0.3,100,85.9,
Bangladesh,"100,725","2,612","1,587",97,3,0.1,0,100,57.9,
Barbados,212,"22,098","8,433",56,41.4,2.5,0.1,100,74,
Belarus,"7,459","1,116",873,99.7,0.3,0,,100,44.2,
Belgium,"8,820","278,139","161,589",17.6,19.9,58.7,3.9,100,63,
Belize,214,"10,373","3,146",81,18,0.9,0.1,100,79.4,
Benin,"5,131","3,304","1,643",94.2,5.7,0.1,,100,65.9,
Bolivia,"6,382","5,751","2,297",87.9,11.7,0.4,0,100,74.2,
Bosnia and Herzegovina,"2,796","12,516","8,947",56,43.5,0.5,0,100,48,
Botswana,"1,341","8,917","2,673",85,13.8,1.1,0,100,79.5,
Brazil,"145,553","17,485","4,591",71.9,26.1,1.9,0.1,100,83.2,
Brunei,292,"43,151","14,064",42,54.1,3.5,0.4,100,79.6,
Bulgaria,"5,804","17,394","11,782",44.2,54.4,1.4,0,100,52.9,
Burkina Faso,"8,291","1,444",773,98.6,1.4,0,,100,63,
Burundi,"4,818",382,221,99.9,0.1,0,,100,56.3,
Cambodia,"9,388","3,881","1,744",94.3,5.5,0.2,0,100,70,
Cameroon,"11,085","2,655","1,078",95.8,4,0.1,0,100,74.1,
Canada,"28,568","259,271","91,058",24.1,27.8,44.4,3.8,100,73.5,
Central African Republic,"2,089","1,131",390,98.5,1.4,0.1,,100,75.7,
Chad,"6,097",883,410,99.3,0.7,0,,100,69.3,
Chile,"12,997","52,829","20,141",36.7,55.8,7.1,0.4,100,78.6,
China,"1,079,169","26,872","6,689",63.1,34,2.7,0.2,100,78.9,
Colombia,"33,239","19,354","7,461",59.7,37.7,2.5,0.1,100,74.2,
Comoros,400,"3,152","1,153",96.4,3.3,0.2,0,100,74.2,
"Congo, Dem. Rep.","34,697",407,166,99.7,0.3,0,,100,70.7,
"Congo, Rep.","2,478","2,814",964,96.1,3.6,0.2,0,100,76.5,
Costa Rica,"3,431","30,240","13,370",43,52.3,4.6,0.1,100,69.4,
Cote d'Ivoire,"11,169","3,352","1,215",94.5,5.3,0.2,0,100,78.1,
Croatia,"3,353","25,756","18,058",28.3,69.8,1.9,0.1,100,49.8,
Cyprus,900,"102,384","20,902",30,58,10.9,1.1,100,83.9,
Czech Republic,"8,544","51,472","23,083",17,75.7,6.9,0.4,100,64.8,
Denmark,"4,423","281,542","87,231",26,27.2,42,4.8,100,80.9,
Djibouti,554,"4,347","1,977",91.4,8.4,0.3,,100,70.5,
Dominica,53,"22,871","6,371",65,32.8,2,0.2,100,80,
Ecuador,"10,289","12,844","5,644",70.9,27.9,1.2,0,100,70.4,
Egypt,"56,036","3,168",324,98.1,1.7,0.2,0,100,91.7,
El Salvador,"3,957","14,443","6,906",66,32.8,1.2,0,100,65.7,
Equatorial Guinea,670,"8,044","2,616",87,12.2,0.7,0.1,100,77.3,
Eritrea,"2,401","3,607","2,036",94.5,5.4,0.1,,100,57.1,
Estonia,"1,040","43,158","27,522",22.5,72.2,5.1,0.2,100,56.4,
Ethiopia,"49,168",153,103,100,0,,,100,43.4,
Fiji,568,"6,309","3,059",85,14.6,0.4,0,100,68.2,
Finland,"4,312","159,098","57,850",30.8,33.8,33.5,1.9,100,76.7,
France,"49,239","263,399","119,720",25.3,21.4,49.3,4,100,70.2,
Gabon,"1,098","15,168","7,367",62,36.5,1.5,0,100,68.4,
Gambia,904,898,347,99.2,0.7,0,,100,72.4,
Georgia,"2,950","19,430","9,874",50.7,47.6,1.6,0.1,100,66.8,
Germany,"67,244","203,946","47,091",29.5,33.7,33.9,2.9,100,79.1,
Ghana,"14,574",809,411,99.5,0.5,0,,100,66.1,
Greece,"9,020","111,684","54,665",20.7,52.9,25.4,1,100,67.7,
Grenada,70,"17,523","4,625",74,24.3,1.5,0.2,100,81.5,
Guinea,"5,896",814,374,99.4,0.6,0,,100,69.7,
Guinea-Bissau,884,477,243,99.8,0.2,,,100,65.6,
Guyana,467,"5,345","2,510",89,10.7,0.3,0,100,67.2,
Haiti,"6,172","2,879",894,96.2,3.6,0.2,0,100,76.9,
Hong Kong,"6,172","193,248","46,079",26.3,50.9,20.9,1.9,100,85.1,
Hungary,"7,846","39,813","30,111",11.8,83.4,4.8,0,100,45.3,
Iceland,245,"587,649","444,999",,13,72,15,100,46.7,
India,"834,608","5,976","1,295",92.3,7.2,0.5,0,100,83,
Indonesia,"167,559","11,001","1,914",81.9,17,1.1,0.1,100,83.7,
Iran,"56,306","3,831","1,856",94.1,5.7,0.2,0,100,67.3,
Ireland,"3,434","248,466","84,592",31.2,22.7,42.3,3.6,100,81.3,
Israel,"5,315","198,406","78,244",22.3,38.7,36.7,2.3,100,74.2,
