"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","2015",1.32937164096689,
"AUS","HHDI","NET","AGRWTH","A","2016",1.99562303137116,
"AUS","HHDI","NET","AGRWTH","A","2017",1.77297461539567,
"AUS","HHDI","NET","AGRWTH","A","2018",1.42391216257767,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.049780293657959,
"AUT","HHDI","NET","AGRWTH","A","2016",2.54480296858192,
"AUT","HHDI","NET","AGRWTH","A","2017",1.15528909935149,
"AUT","HHDI","NET","AGRWTH","A","2018",1.3195137778606,
"BEL","HHDI","NET","AGRWTH","A","2015",0.790981325887568,
"BEL","HHDI","NET","AGRWTH","A","2016",1.81824836285145,
"BEL","HHDI","NET","AGRWTH","A","2017",1.55048772557546,
"BEL","HHDI","NET","AGRWTH","A","2018",0.853548168333139,
"CAN","HHDI","NET","AGRWTH","A","2015",2.94008646082827,"E"
"CAN","HHDI","NET","AGRWTH","A","2016",-0.013797323835067,"E"
"CAN","HHDI","NET","AGRWTH","A","2017",3.64226063010527,"E"
"CAN","HHDI","NET","AGRWTH","A","2018",2.03240890241247,"E"
"CAN","HHDI","NET","AGRWTH","A","2019",2.49986454447461,"E"
"CZE","HHDI","NET","AGRWTH","A","2015",3.09297906782836,
"CZE","HHDI","NET","AGRWTH","A","2016",2.92994379616217,
"CZE","HHDI","NET","AGRWTH","A","2017",4.45615643043064,
"CZE","HHDI","NET","AGRWTH","A","2018",3.91086520248593,
"CZE","HHDI","NET","AGRWTH","A","2019",3.20796057372512,
"DNK","HHDI","NET","AGRWTH","A","2015",3.58712102877075,
"DNK","HHDI","NET","AGRWTH","A","2016",3.36022062995889,
"DNK","HHDI","NET","AGRWTH","A","2017",1.59941758433889,
"DNK","HHDI","NET","AGRWTH","A","2018",1.73189696691103,
"FIN","HHDI","NET","AGRWTH","A","2015",1.12905044719661,
"FIN","HHDI","NET","AGRWTH","A","2016",1.86884398789153,
"FIN","HHDI","NET","AGRWTH","A","2017",1.16121306471275,
"FIN","HHDI","NET","AGRWTH","A","2018",1.95600181136033,
"FIN","HHDI","NET","AGRWTH","A","2019",1.76012387995523,
"FRA","HHDI","NET","AGRWTH","A","2015",0.991272478456992,
"FRA","HHDI","NET","AGRWTH","A","2016",1.6944539727701,
"FRA","HHDI","NET","AGRWTH","A","2017",1.42162180673024,"E"
"FRA","HHDI","NET","AGRWTH","A","2018",1.0393261166252,"E"
"DEU","HHDI","NET","AGRWTH","A","2015",2.24630555766598,
"DEU","HHDI","NET","AGRWTH","A","2016",2.91250856109053,
"DEU","HHDI","NET","AGRWTH","A","2017",1.37337395162964,
"DEU","HHDI","NET","AGRWTH","A","2018",1.81969947354991,
"GRC","HHDI","NET","AGRWTH","A","2015",-1.41160396985553,"E"
"GRC","HHDI","NET","AGRWTH","A","2016",-1.20236729034857,"E"
"GRC","HHDI","NET","AGRWTH","A","2017",0.869847124231609,"E"
"GRC","HHDI","NET","AGRWTH","A","2018",2.67547229399975,"E"
"HUN","HHDI","NET","AGRWTH","A","2015",3.53626383482346,
"HUN","HHDI","NET","AGRWTH","A","2016",3.94728364246945,
"HUN","HHDI","NET","AGRWTH","A","2017",3.83696178483125,
"HUN","HHDI","NET","AGRWTH","A","2018",4.25324062729441,
"IRL","HHDI","NET","AGRWTH","A","2015",3.65430506025911,
"IRL","HHDI","NET","AGRWTH","A","2016",4.82283815304684,
"IRL","HHDI","NET","AGRWTH","A","2017",5.09690894574516,
"IRL","HHDI","NET","AGRWTH","A","2018",3.43350243354729,
"ITA","HHDI","NET","AGRWTH","A","2015",0.991612476277527,
"ITA","HHDI","NET","AGRWTH","A","2016",1.09722014903943,
"ITA","HHDI","NET","AGRWTH","A","2017",0.972043607969886,
"ITA","HHDI","NET","AGRWTH","A","2018",0.790808334067529,
"ITA","HHDI","NET","AGRWTH","A","2019",0.505371951972855,
"JPN","HHDI","NET","AGRWTH","A","2015",1.43619827993268,
"JPN","HHDI","NET","AGRWTH","A","2016",1.59689547285925,
"JPN","HHDI","NET","AGRWTH","A","2017",0.760825719985956,
"KOR","HHDI","NET","AGRWTH","A","2015",5.70839253327531,
"KOR","HHDI","NET","AGRWTH","A","2016",1.71718623219652,
"KOR","HHDI","NET","AGRWTH","A","2017",1.81682275376569,
"LUX","HHDI","NET","AGRWTH","A","2015",0.929170751429442,
"LUX","HHDI","NET","AGRWTH","A","2016",1.53522107304062,
"LUX","HHDI","NET","AGRWTH","A","2017",4.9433356530651,
"LUX","HHDI","NET","AGRWTH","A","2018",3.28891150677964,
"MEX","HHDI","NET","AGRWTH","A","2015",4.71527473222898,
"MEX","HHDI","NET","AGRWTH","A","2016",1.88545939134071,
"MEX","HHDI","NET","AGRWTH","A","2017",0.927792152718476,
"MEX","HHDI","NET","AGRWTH","A","2018",1.57170057734213,
"NLD","HHDI","NET","AGRWTH","A","2015",1.43380120493547,
"NLD","HHDI","NET","AGRWTH","A","2016",2.05887411525479,
"NLD","HHDI","NET","AGRWTH","A","2017",1.08005713024112,
"NLD","HHDI","NET","AGRWTH","A","2018",2.27476663164758,
"NLD","HHDI","NET","AGRWTH","A","2019",1.40493565013542,"E"
"NZL","HHDI","NET","AGRWTH","A","2015",4.58395939525615,
"NZL","HHDI","NET","AGRWTH","A","2016",5.27010491900735,
"NZL","HHDI","NET","AGRWTH","A","2017",4.43536022834804,
"NOR","HHDI","NET","AGRWTH","A","2015",4.43552869853332,
"NOR","HHDI","NET","AGRWTH","A","2016",-0.783919746480086,
"NOR","HHDI","NET","AGRWTH","A","2017",1.33296231273889,
"NOR","HHDI","NET","AGRWTH","A","2018",1.98438047891222,
"POL","HHDI","NET","AGRWTH","A","2015",3.55138596255196,
"POL","HHDI","NET","AGRWTH","A","2016",5.3479999026767,
"POL","HHDI","NET","AGRWTH","A","2017",3.25464848147099,
"POL","HHDI","NET","AGRWTH","A","2018",2.9842129825197,"E"
"PRT","HHDI","NET","AGRWTH","A","2015",2.64029579668314,
"PRT","HHDI","NET","AGRWTH","A","2016",2.32725121035938,
"PRT","HHDI","NET","AGRWTH","A","2017",1.05415763721934,
"PRT","HHDI","NET","AGRWTH","A","2018",2.92552854910793,"E"
"PRT","HHDI","NET","AGRWTH","A","2019",2.42471898276663,"E"
"SVK","HHDI","NET","AGRWTH","A","2015",4.59834130855121,
"SVK","HHDI","NET","AGRWTH","A","2016",3.21926193583858,
"SVK","HHDI","NET","AGRWTH","A","2017",3.25376417254685,
"SVK","HHDI","NET","AGRWTH","A","2018",5.0344296310078,
"SVK","HHDI","NET","AGRWTH","A","2019",2.48284175069746,
"ESP","HHDI","NET","AGRWTH","A","2015",3.91401330130545,
"ESP","HHDI","NET","AGRWTH","A","2016",2.4662999612966,
"ESP","HHDI","NET","AGRWTH","A","2017",1.35578045697746,
"ESP","HHDI","NET","AGRWTH","A","2018",2.18751964498326,
"SWE","HHDI","NET","AGRWTH","A","2015",2.74060645310501,
"SWE","HHDI","NET","AGRWTH","A","2016",3.86952110915373,
"SWE","HHDI","NET","AGRWTH","A","2017",1.32001546066417,
"SWE","HHDI","NET","AGRWTH","A","2018",1.29362228834784,
"SWE","HHDI","NET","AGRWTH","A","2019",2.56226699879738,
"CHE","HHDI","NET","AGRWTH","A","2015",1.35612177189152,
"CHE","HHDI","NET","AGRWTH","A","2016",1.56340989744718,"E"
"CHE","HHDI","NET","AGRWTH","A","2017",0.285568725642649,"E"
"CHE","HHDI","NET","AGRWTH","A","2018",1.31755944458998,"E"
