Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Albania,"2,285","8,713","4,773",74.1,25.4,0.5,0,100,65.8
Algeria,"24,736","8,274","3,523",78.9,20.5,0.6,0,100,66
Angola,"9,740","15,302","4,931",67.5,30.7,1.8,0,100,72.7
Antigua and Barbuda,65,"21,567","5,953",65,32.4,2.5,0.2,100,78.6
Argentina,"28,832","9,778","2,203",86.6,12.5,0.9,0.1,100,81.8
Armenia,"2,283","5,343","2,732",87.7,12.1,0.2,0,100,62.8
Australia,"16,919","364,896","168,291",7.2,26.1,61,5.7,100,63.9
Austria,"6,809","196,092","66,617",27.9,32.5,36.7,2.9,100,77.9
Azerbaijan,"6,430","17,837","10,299",50,48.3,1.7,0,100,59.1
Bahamas,249,"44,299","7,189",60,35.5,4,0.5,100,86.9
Bahrain,595,"49,163","24,922",30,58.7,11,0.2,100,64.5
Bangladesh,"107,702","2,201","1,104",96.7,3.2,0,0,100,63
Barbados,202,"20,022","4,625",68.8,28.6,2.5,0.1,100,79.4
Belarus,"7,504","1,551",883,98.6,1.4,0,0,100,65
Belgium,"8,440","259,406","150,348",9.9,33.1,53.7,3.3,100,62.6
Belize,196,"10,602","2,834",80,18.8,1.2,0,100,76
Benin,"4,970","3,044","1,303",94,5.9,0.1,0,100,67.3
Bolivia,"6,026","5,202","1,904",88.7,11,0.3,0,100,71.3
Bosnia and Herzegovina,"2,990","10,704","5,518",67.1,32,0.8,0,100,67
Botswana,"1,214","9,196","1,758",84.2,14.7,1.1,0,100,81.7
Brazil,"138,439","17,597","3,311",75.9,22.2,1.8,0.1,100,83
Brunei,296,"46,512","23,716",31.2,58.7,9.8,0.2,100,64.3
Bulgaria,"5,930","15,892","8,542",54.8,43.6,1.6,0,100,66.4
Burkina Faso,"8,110","1,265",496,98.5,1.5,0,0,100,67.5
Burundi,"4,909",356,174,99.9,0.1,0,0,100,63.4
Cambodia,"9,563","3,163","1,495",93.8,6.1,0,0,100,64.1
Cameroon,"10,881","2,458",980,95.7,4.2,0,0,100,67.2
Canada,"27,677","248,276","74,750",18.5,31.9,46.1,3.6,100,72.6
Cape Verde,307,"15,732","5,434",67.5,30.4,2.1,0.1,100,73.6
Central African Republic,"2,457",773,259,99.3,0.7,0,0,100,70.7
Chad,"5,735",985,436,99.2,0.8,0,0,100,66.6
Chile,"12,754","41,982","13,503",48,46.6,5,0.3,100,79.5
China,"1,013,536","22,513","7,357",62.1,35.5,2.3,0.1,100,73.3
Colombia,"31,382","20,477","5,765",64.6,32.6,2.7,0.1,100,76.9
Comoros,402,"2,741",685,94.4,5.4,0.2,0,100,78.9
"Congo, Dem. Rep.","33,485",374,147,99.9,0.1,0,0,100,67.5
"Congo, Rep.","2,131","3,344","1,394",93.2,6.7,0.1,0,100,68.3
Costa Rica,"3,349","29,862","6,861",60.6,35.8,3.3,0.3,100,81.4
Cote d'Ivoire,"12,019","2,698","1,064",94.8,5.1,0.1,0,100,69.1
Croatia,"3,497","22,386","11,974",50,47.2,2.7,0,100,66.4
Cyprus,709,"112,220","25,559",26.2,58.7,13.7,1.2,100,81.7
Czech Republic,"8,459","41,710","14,256",48.2,46,5.4,0.3,100,77.9
Denmark,"4,218","251,634","51,854",31.9,24.5,39,4.6,100,89.3
Djibouti,528,"3,846","1,543",91.8,8.1,0.1,0,100,66.7
Dominica,51,"26,122","7,595",58.7,38.1,2.9,0.2,100,78.4
Ecuador,"8,990","12,717","3,945",74.3,24.3,1.4,0,100,73.8
Egypt,"54,333","6,983","1,664",91.7,7.7,0.6,0,100,80.3
El Salvador,"3,846","13,337","5,137",70,28.6,1.3,0,100,70.7
Equatorial Guinea,380,"16,450","5,814",66.2,31.6,2.1,0.1,100,73.1
Eritrea,"2,915","2,383","1,003",95.8,4.1,0,0,100,67.9
Estonia,"1,049","35,503","18,640",44,49.1,6.8,0.1,100,67.1
Ethiopia,"44,938",441,229,99.9,0.1,0,0,100,62.3
Fiji,533,"5,893","2,060",85,14.7,0.3,0,100,68.9
Finland,"4,225","149,917","62,729",26,37.1,35.2,1.7,100,74.2
France,"48,450","262,070","86,156",16.9,33.1,46.3,3.7,100,70.3
Gabon,906,"17,701","6,259",63.7,33.9,2.3,0.1,100,73.3
Gambia,950,886,309,99.2,0.8,0,0,100,69.4
Georgia,"3,164","18,636","8,361",55.3,42.2,2.4,0,100,66.6
Germany,"67,079","177,984","43,898",29.7,33.9,34.2,2.3,100,77.5
Ghana,"14,046",773,337,99.6,0.4,0,0,100,65.4
Greece,"9,131","81,342","38,552",19.7,64,15.7,0.6,100,68
Grenada,68,"16,085","4,995",66.3,31.9,1.8,0.1,100,73.5
Guinea,"5,567",960,415,99.3,0.7,0,0,100,65
Guinea-Bissau,867,410,165,99.8,0.1,0,0,100,69.7
Guyana,479,"4,450","1,679",90.4,9.4,0.2,0,100,68
Haiti,"6,015","3,506","1,085",92.8,7,0.2,0,100,72.7
Hong Kong,"6,186","173,685","36,545",22.2,57.2,18.9,1.7,100,83.7
Hungary,"7,910","30,796","17,362",44.4,50.6,4.9,0.1,100,65.5
Iceland,259,"351,037","118,947",13.8,31.3,49.3,5.8,100,70.9
India,"792,023","4,352",868,95.4,4.3,0.3,0,100,83.1
Indonesia,"161,671","9,031","1,615",92,7,0.9,0.1,100,84.7
Iran,"54,597","3,654","1,711",92.2,7.7,0.1,0,100,65.2
Ireland,"3,547","194,650","64,444",18.8,35.3,43.5,2.4,100,71.7
Israel,"5,071","155,982","41,926",19.8,52,26.5,1.7,100,77.2
Italy,"49,244","203,577","88,603",12.4,37.6,47.7,2.3,100,66.7
Jamaica,"1,753","10,032","3,424",79.4,19.6,1,0,100,73.4
Japan,"104,279","190,230","96,071",9,42.3,46.7,2,100,63.4
Jordan,"3,972","14,742","7,190",60.5,37.9,1.5,0,100,64.1
Kazakhstan,"11,080","5,593",889,95.1,4.4,0.4,0,100,87.4
Kenya,"21,657","1,879",738,96.9,3.1,0,0,100,69.6
Korea,"38,912","91,108","31,259",24,59.3,15.9,0.8,100,73.8
Kuwait,"2,370","113,419","40,438",20.5,58.2,20.2,1.2,100,74.1
Kyrgyzstan,"3,666","4,896","2,248",88.3,11.5,0.1,0,100,63.3
Laos,"3,785","6,219","3,062",85,14.7,0.3,0,100,63.8
Latvia,"1,775","20,977","7,528",50,47.3,2.7,0,100,67.9
Lebanon,"3,024","30,207","5,340",66.7,30.2,2.8,0.3,100,84.8
Lesotho,"1,104","3,384",984,92.9,7,0.1,0,100,72.6
Liberia,"2,213","2,133",910,96.8,3.2,0,0,100,65.3
Libya,"4,420","28,628","4,789",69.8,26.5,3.4,0.3,100,85.4
Lithuania,"2,527","22,628","8,333",50,47,3,0,100,67.5
Luxembourg,398,"303,695","110,885",10,36.3,49.1,4.6,100,70.4
Macedonia,"1,574","9,605","3,145",72.9,26.4,0.8,0,100,69.3
Madagascar,"10,900",340,137,100,0,0,0,100,66.8
Malawi,"7,812",169,70,100,0,0,0,100,67.2
Malaysia,"19,000","22,700","6,194",64.5,33,2.3,0.2,100,78.9
Maldives,219,"6,724","3,084",82.5,17.2,0.3,0,100,65.1
Mali,"6,735",923,411,99.4,0.6,0,0,100,64.3
Malta,333,"110,998","54,787",10,58.8,30.4,0.9,100,60.3
Mauritania,"1,905","2,038",823,96.8,3.1,0,0,100,66.7
Mauritius,953,"33,770","10,498",47.5,47.5,4.8,0.2,100,73.7
Mexico,"75,422","25,949","7,978",56.7,39.9,3.2,0.2,100,75.9
Moldova,"2,683","3,104","1,578",94.2,5.8,0.1,0,100,67.4
Mongolia,"1,907","15,548","6,758",59.4,38.8,1.7,0,100,64.8
Montenegro,469,"18,251","10,241",50,48.1,1.8,0,100,65.8
Morocco,"21,941","10,123","2,814",84.9,14.2,0.9,0.1,100,78.6
Mozambique,"11,865",779,285,99.4,0.6,0,0,100,69.1
Myanmar,"34,973","2,119",984,96.8,3.2,0,0,100,65.1
Namibia,"1,307","15,420","3,228",77.5,20.2,2.2,0.1,100,81.6
Nepal,"18,035","2,025",788,96.7,3.3,0,0,100,67.4
Netherlands,"13,016","182,782","74,659",22.6,31.1,44.1,2.2,100,73.2
New Zealand,"3,292","400,811","182,618",10,30.9,50.5,8.6,100,67
Nicaragua,"3,566","3,418","1,352",93,6.9,0.1,0,100,67.2
Niger,"7,401",934,441,99.3,0.7,0,0,100,65
Nigeria,"83,703","2,705",650,97.1,2.7,0.2,0,100,81.4
Norway,"3,788","321,352","119,634",23.1,21.9,49.6,5.4,100,77.9
Oman,"1,948","50,362","19,642",31.7,57.8,10.2,0.4,100,68.2
Pakistan,"110,991","4,459","2,316",90.1,9.8,0.1,0,100,62.1
Panama,"2,392","22,541","5,553",65.9,31.5,2.5,0.2,100,80.2
Papua New Guinea,"3,916","8,797","2,860",79.7,19.4,0.9,0,100,71.5
Paraguay,"4,057","10,505","3,672",78.2,20.6,1.1,0,100,72.9
Peru,"19,423","20,113","5,105",69.5,28.3,2,0.1,100,80.3
Philippines,"58,863","9,177","1,856",88.4,10.8,0.8,0.1,100,82.7
Poland,"30,326","24,370","9,112",52.7,44.2,3,0.1,100,75.6
Portugal,"8,640","73,843","27,297",24.9,61,13.5,0.6,100,70.5
Qatar,"1,290","156,986","60,846",15,50.8,31.7,2.5,100,72.3
Romania,"16,609","13,295","5,191",70,28.6,1.3,0.1,100,74.8
Russia,"109,516","11,726","1,388",91.4,7.7,0.8,0.1,100,91.2
Rwanda,"5,517",766,269,99.2,0.8,0,0,100,72
Samoa,94,"35,273","16,059",40,53.4,6.5,0.1,100,66.7
Sao Tome and Principe,90,"3,080","1,353",94,5.9,0.1,0,100,67.8
Saudi Arabia,"17,409","39,481","13,131",44.3,50.1,5.3,0.3,100,74.6
Senegal,"6,735","2,446","1,088",95.8,4.1,0,0,100,66.5
Serbia,"7,537","6,585","3,561",82,17.6,0.4,0,100,66.1
Seychelles,56,"58,651","3,152",82.5,12.6,4.1,0.8,100,94.8
Sierra Leone,"2,999",747,351,99.6,0.4,0,0,100,65
Singapore,"4,051","269,408","98,922",10,40,46.5,3.5,100,70.8
Slovakia,"4,328","24,062","18,223",22.4,75.9,1.8,0,100,44.6
Slovenia,"1,659","56,406","41,061",18.1,66.9,14.9,0,100,53.3
Solomon Islands,312,"9,702","4,594",75,24.2,0.8,0,100,65.1
South Africa,"31,357","21,402","3,379",72.7,24.3,2.9,0.2,100,84
Spain,"37,573","111,643","52,223",12.1,62.8,24.1,1,100,67.1
Sri Lanka,"14,501","5,017","2,090",88.6,11.2,0.2,0,100,65.9
St. Kitts and Nevis,36,"25,503","6,470",58.8,38.1,2.9,0.2,100,78.1
St. Lucia,122,"14,450","5,382",68.7,29.6,1.6,0,100,72.6
St. Vincent and the Grenadines,72,"11,339","3,825",77.5,21.2,1.2,0,100,74
Sudan,"24,874","1,018",465,99.3,0.7,0,0,100,63.7
Suriname,351,"17,575","2,187",82.5,15.4,2,0.2,100,87.4
Swaziland,653,"3,749","1,107",91.9,7.9,0.2,0,100,73.1
Sweden,"7,369","311,353","57,433",15.8,47.4,29.7,7.1,100,80.9
Switzerland,"6,156","567,122","107,583",1.7,47.2,40.3,10.8,100,80.3
