Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Albania,"2,253","10,309","4,578",69.1,30.1,0.9,0,100,66.8
Algeria,"24,240","10,204","4,420",73.2,25.9,0.9,0,100,67.6
Angola,"9,429","14,989","4,706",69.9,28.3,1.7,0.1,100,75.5
Antigua and Barbuda,64,"20,403","6,879",60,37.5,2.4,0.1,100,74.1
Argentina,"28,455","10,561","2,424",83.2,15.7,1,0.1,100,80.9
Armenia,"2,270","5,950","2,805",85,14.8,0.2,0,100,64.1
Australia,"16,719","430,777","225,337",6.4,23.2,62.9,7.5,100,64
Austria,"6,778","225,565","63,741",27,31.4,38.2,3.4,100,77.9
Azerbaijan,"6,329","21,169","10,164",49.5,47.8,2.7,0,100,64.6
Bahamas,244,"42,576","15,341",40,53,6.7,0.3,100,72.3
Bahrain,579,"48,522","23,905",32.5,57.5,9.7,0.3,100,66.1
Bangladesh,"105,324","2,017",832,97.1,2.9,0,0,100,67.8
Barbados,200,"18,200","5,877",65,32.6,2.3,0.1,100,75.7
Belarus,"7,531","2,179","1,079",97.2,2.8,0,0,100,64.6
Belgium,"8,405","300,850","172,947",16.4,19.6,59.7,4.3,100,62.9
Belize,190,"10,287","2,901",81.2,17.6,1.1,0,100,77.3
Benin,"4,811","3,523","1,645",93.5,6.3,0.1,0,100,66.5
Bolivia,"5,876","4,880","1,571",90.3,9.4,0.3,0,100,74.5
Bosnia and Herzegovina,"2,987","12,336","5,630",61.8,37.1,1.1,0,100,66.3
Botswana,"1,192","10,274","2,281",80,18.9,1,0.1,100,79.1
Brazil,"136,399","23,415","4,772",66.5,30.8,2.5,0.2,100,82.3
Brunei,289,"50,867","23,290",31.3,57.5,10.9,0.3,100,66.3
Bulgaria,"5,971","19,093","8,608",54.5,43.2,2.3,0,100,66.6
Burkina Faso,"7,850","1,423",653,98.4,1.6,0,0,100,66.8
Burundi,"4,789",318,153,99.9,0.1,0,0,100,63.8
Cambodia,"9,290","2,867","1,514",94.8,5.1,0.1,0,100,67.3
Cameroon,"10,599","2,876","1,217",95.2,4.7,0.1,0,100,67.7
Canada,"27,343","274,543","98,756",22.6,27.4,45.8,4.2,100,72.6
